"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"07/09/2020","BB-202003633","Residential Pool","4407 JETT RD NW, ATLANTA GA 30327","POOL , SPA , GRILL STATION AND WALL ( 2' MAX HEIGHT BEAM WALL )","GUPTA POOL","Routed for Review",,
"07/04/2020","BB-202003614","Residential Pool","2426 NORTHSIDE DR NW, ATLANTA GA 30305","Install inground pool","Beth Allen","Issued",,
"07/03/2020","BB-202003562","Residential Pool","4350 HARRIS VALLEY RD NW, ATLANTA GA 30327","528 sqft pool with 7' spa, 1200 sqft pool deck and stone wall","Raziano Pool","Accepted",,
"07/02/2020","BB-202003705","Residential Pool","3159 EAST WOOD VALLEY RD NW, ATLANTA GA 30327","Redesign existing pool and patio, impervious surfaces to be reduced.","Purser Residence pool","Issued",,
"06/30/2020","BB-202003554","Residential Pool","1196 FRANCIS ST NW, ATLANTA GA 30318","CONSTRUCTION OF A SWIMMING POOL AND DECK ON THE BACKYARDSTOP WORK 20CAP-00000470   PREVIOUS XPRS BB 201802927","SFR - POOL & DECK ADDITION (20CAP-00000470 SW)","Accepted",,
"06/30/2020","BB-202003401","Residential Pool","882 PENN AVE NE, ATLANTA GA 30309","Carriage House Addition with deck; Pool addition; Remove and replace 2 story deck on rear of house; add stairs at front porch; add 5ft fence and gate around pool; remove and replace retaining wall- 5 ft high max; Add deck to rear of house; add fire place in master bedroom; interior renovations ZONE R-5","882 PENN AVE.","Issued",,
"06/23/2020","BB-202003423","Residential Pool","892 DURANT PL NE, ATLANTA GA 30309","Install swimming pool, spa & rolling deck","Durant Swimming Pool","Issued",,
"06/23/2020","BB-202003353","Residential Pool","3964 SHELDON DR NE, ATLANTA GA 30342","DIRT EXCAVATION IN THE BACKYARD OF THE HOUSE AND INSTALLATION OF PRE-FABRICATED 40 X 16 FIBERGLASS SWIMMING POOL WITH ATTACHED 9 X 7 SPA.  INSTALLATION OF SURROUNDING FENCING","SFR - POOL & FENCE","Issued",,
"06/23/2020","BB-202003200","Residential Pool","396 GOLF VIEW RD NW, ATLANTA GA 30309","BUILDING IN GROUND CONCRETE SWIMMING POOL 17 CAP 00001160   ( 65  20407 / 221.1","DOWNES POOL","Issued",,
"06/22/2020","BB-202003201","Residential Pool","1864 ANJACO RD NW, ATLANTA GA 30309","Install inground heated shortcrete pool with attached spa","Mallis Pool","Issued",,
"06/19/2020","BB-202003133","Residential Pool","532 VALLEY RD NW, ATLANTA GA 30305","Construction of a new detached pool pavilion with miscellaneous site improvements, including retaining walls, the masonry finish on the rear terrace terrace of the existing residence will be removed and finished. Pool will be permitted separately","New Poolhouse for MR. Jay Steel","Expired",,
"06/16/2020","BB-202003177","Residential Pool","3825 VERMONT RD NE, ATLANTA GA 30319","Construct new swimming pool","Pool","Issued",,
"06/15/2020","BB-202003023","Residential Pool","680 VALLEY GREEN DR NE, ATLANTA GA 30342","In-ground pool with inset spa, wall, fire pit and patio area","Gelber Pool","Issued",,
"06/15/2020","BB-202002982","Residential Pool","4490 RUNNEMEDE RD NW, ATLANTA GA 30327","NEW POOL HOUSE AND CABANA / NEW POOL AND POOL DECK","4490 RUNNEMEDE ROAD","Issued",,
"06/12/2020","BB-202003169","Residential Pool","4920 GUILFORD FOREST DR SW, ATLANTA GA 30331","Construct swimming pool","Pool","Issued",,
"06/10/2020","BB-202003714","Residential Pool","841 ADAIR AVE NE, ATLANTA GA 30306","CONSTRUCT NEW INGROUND SWIMMING POOL, PATIO, AND POOL EQUIPMENT","841 ADAIR AVENUE POOL","Issued",,
"06/08/2020","BB-202002817","Residential Pool","3661 HADDON HALL RD NW, ATLANTA GA 30327","install proposed swimming pool, stepping stone path new terrace around pool retaining wall in rear yard grade rear using pool dig soil onsite remove trees as noted","Bramwell Pool","Issued",,
"06/07/2020","BB-202002755","Residential Pool","4075 PEACHTREE DUNWOODY RD NE, ATLANTA GA 30342","Pool & Stone Fireplace","Hudson Pool","Issued",,
"06/07/2020","BB-202002750","Residential Pool","612 FORTUNE PL NE, ATLANTA GA 30312","Construct pool, demo driveway, turf work","Senzer Pool","Issued",,
"06/04/2020","BB-202002922","Residential Pool","322 PAVILLION ST SE, ATLANTA GA 30315","Concrete in ground swimming pool, pool equipment 24"" retaining wall adjust ex ornamental fence to property line","Pool","Issued",,
"06/02/2020","BB-202002582","Residential Pool","637 EDINBORO RD NW, ATLANTA GA 30327","Pool apron and spa; retaining wall, expand parking court, grill area, sidewalks, fence and gate.","Peak Pool","Issued",,
"06/02/2020","BB-202002571","Residential Pool","1887 FLAT SHOALS RD SE, ATLANTA GA 30316","ZONE R4EXTEND EXISTING DECK AND BUILD AN ABOVE GROUND POOL","POOL AND DECK BUILDING","Complete",,
"05/29/2020","BB-202002481","Residential Pool","873 CARLTON RIDGE NE, ATLANTA GA 30342","Construct 750 sqft pool, 7' spa, 14' sunk-in area, 16' x 36x stone wall. 2 stone columns, demo driveway replace with impervious pavers","Giles Pool","Issued",,
"05/27/2020","BB-202002446","Residential Pool","906 AMSTERDAM AVE NE, ATLANTA GA 30306","CONSTRUCTION OF A NEW INGROUND RESIDENTIAL SHOTCRETE SWIMMING POOL AND REMOVAL OF PORTIONS OF EXISTING CONCRETE DRIVEWAY TO OFFSET ALLOWED IMPERVIOUS AREA.","SFR - IN-GROUND SWIMMING POOL & DRIVEWAY WORK","Issued",,
"05/26/2020","BB-202003152","Residential Pool","1340 PASADENA AVE NE, ATLANTA GA 30306","NEW POOL","SFR - HUND POOL","Issued",,
"05/26/2020","BB-202003135","Residential Pool","890 ARLINGTON PL NE, ATLANTA GA 30306","INSTALL IN-GROUND HEATED SHOTCRETE POOL & ATTACHED SPA.  POOL & SPA SHELL ONLY.","SFR - HILL POOL & SPA   (V-19-217)","Issued",,
"05/21/2020","BB-202002372","Residential Pool","2280 FAIRHAVEN CIR NE, ATLANTA GA 30305","Construct inground pool","Corey Pool","Issued",,
"05/21/2020","BB-202002363","Residential Pool","544 PEACHTREE BATTLE AVE NW, ATLANTA GA 30305","Install a pool, small set of stairs and a retaining wall with railing surrounding the entire property bringing back yard up to flat grade.","Pool and Retaining Wall (V-19-139/179)","Issued",,
"05/21/2020","BB-202002361","Residential Pool","4394 TREE HAVEN DR NE, ATLANTA GA 30342","Install inground heated shotcrete pool & attached spa. pool deck and retaining wall","Howard Pool","Complete",,
"05/20/2020","BB-202002347","Residential Pool","1697 NORTH PELHAM RD NE, ATLANTA GA 30324","DEMO OF EXISTING GARAGE. CONSTRUCTION OF NEW TWO CAR GARAGE WITH POOL HOUSE, REC ROOM, & POOL.ACCESSORY STRUCTURE/ SETBACK VARIANCE APPROVED: V-19-107","NEW GARAGE AND POOL HOUSE","Issued",,
"05/19/2020","BB-202002306","Residential Pool","1742 PINE RIDGE DR NE, ATLANTA GA 30324","Construct swimming pool at new SFR that is under construction(BB-201905199) IRC 2018 SFR with GA state amendments","1742 Pine Ridge Pool","Complete",,
"05/19/2020","BB-202002294","Residential Pool","3332 RILMAN RD NW, ATLANTA GA 30327","CONSTRUCTION OF NEW POOL","RILMAN LOT 4 POOL","Issued",,
"05/15/2020","BB-202002252","Residential Pool","590 BOULEVARD SE, ATLANTA GA 30312","Building an in-ground concrete swimming pool & spa.","Pool (CA2S-20-110)","Issued",,
"05/06/2020","BB-202002028","Residential Pool","843 MONROE CIR NE, ATLANTA GA 30308","Demolition of existing wood deck and stairs to existing driveway; addition of new screened porch; addition of new pool deck and above-ground swimming pool.","Porch, Driveway and Pool","Issued",,
"04/17/2020","BB-202001879","Residential Pool","993 CORONADO DR NW, ATLANTA GA 30327","NEW IN-GROUND POOL & SPA","SFR: EHRLE POOL & SPA  (V-20-006)","Complete",,
"04/16/2020","BB-202001876","Residential Pool","3609 KINGSBORO RD NE, ATLANTA GA 30319","NEW IN-GROUND GUNITE POOL & SPA","SFR: LUMPKIN POOL & SPA","Routed for Review",,
"04/16/2020","BB-202001875","Residential Pool","3864 LAKE FORREST DR NW, ATLANTA GA 30342","IN-GROUND SWIMMING POOL AND SPA","NIX POOL","Issued",,
"04/14/2020","BB-202001865","Residential Pool","664 COOLEDGE AVE NE, ATLANTA GA 30306","CONSTRUCTION OF NEW IN GROUND POOL, NEW DECK, AND FENCE.","SFR - IN GROUD POOL & FENCE","Complete",,
"04/13/2020","BB-202001859","Residential Pool","4415 EAST CONWAY DR NW, ATLANTA GA 30327","NEW POOL","SFR - POOL","Issued",,
"03/06/2020","BB-202001604","Residential Pool","4242 WEST CLUB LN NE, ATLANTA GA 30319","SFR: POOLDEMO EXISTING FOUNTAIN.  NEW POOL AND SPA, FIREPLACE, GRILL STATION WALL","SALISBURY - POOL","Issued",,
"03/04/2020","BB-202001523","Residential Pool","1447 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","CONSTRUCT NEW SWIMMING POOL AND POOL DECK","PEACHTREE BATTLE - POOL","Issued",,
"03/02/2020","BB-202001436","Residential Pool","4199 CLUB DR NE, ATLANTA GA 30319","CONSTRUCT 341 SQ FT COVERED PORCH , 16' X 32 ' POOL WITH POOL APRON , REMOVE PORTION OF EXISTING HARDSCAPE , OUTDOOR FIREPLACE AND MISC SITE WORK","4199 CLUB DR","Routed for Review",,
"02/21/2020","BB-202001231","Residential Pool","1184 EAST ROCK SPRINGS RD NE, ATLANTA GA 30306","INGROUND SWIMMNG POOL AND SPA WITH FENCE AND WALL.","SFR - INGROUND POOL","Issued",,
"02/20/2020","BB-202001162","Residential Pool","3206 ARDEN RD NW, ATLANTA GA 30305","CONSTRUCT 1100 SF IN GROUND SWIMMING POOL WITH 65 SF SPA, 1330 SF OF CONCRETE PATIO WILL INSTALLED, 3 SETS OF PATIO STEPS, 350 LF OF 30"" ALUM FENCE, 80 LF OF 30"" RETAINING WALLS, REPAIR LANDSCAPE","NAJARIAN POOL","Issued",,
"02/19/2020","BB-202001116","Residential Pool","909 OAKDALE RD NE, ATLANTA GA 30307","AGARWAL RESIDENCE - INSTALL STEPPING STONE PATH TO POOL. INSTALL TERRACE AT LEFT SIDE OF POOL, DRIVEWAY F=GATE TO ENCLOSE REAR YARDHC-20B Druid Hill, CA2S-19-603 CA3-20-015","AGARWAL RESIDENCE - POOL","Routed for Review",,
"02/18/2020","BB-202001060","Residential Pool","2961 WESTMINSTER CIR NW, ATLANTA GA 30327","POOL, SPA, WALL","SFR - PATEL POOL","Issued",,
"02/18/2020","BB-202001059","Residential Pool","1901 SPRING AVE NW, ATLANTA GA 30318","CONSTRUCT NEW RESIDENTIAL SWIMMING POOL IN THE BACKYARD","LOISE POOL","Issued",,
"02/18/2020","BB-202001055","Residential Pool","84 ROBIN HOOD RD NE, ATLANTA GA 30309","NEW INGROUND SWIMMING POOL-ERDOZAIN RESIDENCE WITH 30"" COPING, POOL EQUIPMENT, & FENCE.","NEW INGROUND SWIMMING POOL-ERDOZAIN RESIDENCE","Issued",,
"02/14/2020","BB-202001007","Residential Pool","665 EAST PACES FERRY RD NE, ATLANTA GA 30305","34 X 12 POOL (ALL OTHER STRUCTURES UNDER CONSTRUCTION)","SFR - LADISIC POOL","Issued",,
"02/14/2020","BB-202001006","Residential Pool","348 LAKEMOORE DR NE, ATLANTA GA 30342","BUILD AN INGROUND SWIMMING POOL/ REMOVE EXISTING DECKING/ PATIO - POOL WILL GO WHERE DECKING WAS REMOVED.","SFR - ALEX KODEIKA POOL","Routed for Review",,
"02/11/2020","BB-202000921","Residential Pool","1850 BRAEBURN CIR SE, ATLANTA GA 30316","INSTALL GUNITE SWIMMING POOL, SPA, AND PERVIOUS PAVERS.","SFR - DAVIS POOL","Issued",,
"02/10/2020","BB-202000888","Residential Pool","3241 MATHIESON DR NE, ATLANTA GA 30305","1120 SQ FT POOL AND SPA, 2130 SQ FT POOL DECK, 16' BAR/ GRILL, 5; AB WALL.  16 X 16 ARBOR 16 X 8 ARBOR","SFR - WESS POOL","Issued",,
"02/07/2020","BB-202000854","Residential Pool","851 LORIDANS DR NE, ATLANTA GA 30342","NEW SWIMMING POOL (SFR): INSTALL 20 X 40 SWIMMING POOL & SPA AND  72"" TALL WALL","NEW SWIMMING POOL (SFR)","Issued",,
"02/04/2020","BB-202000787","Residential Pool","891 GLENBROOK DR NW, ATLANTA GA 30318","CONSTRUCTION OF NEW 18'X32 SWIMMING POOL","GLENBROOK POOL","Issued",,
"02/04/2020","BB-202000764","Residential Pool","3396 ROCKHAVEN CIR NE, ATLANTA GA 30324","CONSTRUCTION OF POOL, POOL DECKING, RETAINING WALLS, FENCING, TREE REMOVAL, AND LANDSCAPE INSTALLATION.","SFR - SNEED POOL","Issued",,
"02/03/2020","BB-202000772","Residential Pool","437 VALLEY RD NW, ATLANTA GA 30305","CONTRUCTION OF A SWIMMING POOL AT A SFR. PREVIOUS BB-201905468(Bridge replacement), BB-201907586(DEMO), BB-201908050(SFR BUILDING PERMIT)","437 VALLEY RD POOL","Issued",,
"02/03/2020","BB-202000771","Residential Pool","812 PONCE DE LEON TER NE, ATLANTA GA 30306","620 SQFT SWIMMING POOL WITH 7FT SPA. POOL DECK(NO ELEVATION) & 30 "" WALL","PUCKETT POOL","Issued",,
"02/03/2020","BB-202000741","Residential Pool","4127 HAVERHILL DR NE, ATLANTA GA 30342","INSTALL GUNITE SWIMMING POOL (NO POOL DECKING, NO HEATER)","SFR - POOL","Issued",,
"01/31/2020","BB-202000680","Residential Pool","120 PEACHTREE BATTLE AVE NW, ATLANTA GA 30305","CONSTRUCTION OF NEW COVERED PORCH INCLUDING OUTDOOR KITCHEN, FIREPLACE, STAIRS, POOL, POOL DECK AND MISC SITE WORK   V-19-260                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  FMILLER","PETTIT RENOVATION","Issued",,
"01/30/2020","BB-202000625","Residential Pool","51 BLACKLAND RD NW, ATLANTA GA 30342","INSTALLING POOL(ALL OTHER STRUCTURES UNDER CONSTRUCTION)11/20/20 90 Permit Extension, per Gregory Pace.C.Stinson","51 BLACKLAND RD","Issued",,
"01/30/2020","BB-202000624","Residential Pool","240 WEST ANDREWS DR NW, ATLANTA GA 30305","IN GROUND POOL INSTALLATION","DESIO POOL","Complete",,
"01/30/2020","BB-202000622","Residential Pool","682 HOME AVE SE, ATLANTA GA 30312","CONSTRUCTION OF AN INGROUND SHOTCRETE SWIMMING POOL, SPA, AND POOL DECK.","SFR - MCWHORTER INGROUND SWIMMNIG POOL  (CA2S-20-016)","Issued",,
"01/28/2020","BB-202000548","Residential Pool","4130 PARAN PINES DR NW, ATLANTA GA 30327","INSTALL IN GROUND  SHOTCRETE POOL WITH ATTACHED SPA","SFR - WINTER IN GROUND POOL","Complete",,
"01/28/2020","BB-202000547","Residential Pool","447 VALLEY RD NW, ATLANTA GA 30305","IN GROUND POOL","SFR - CARSON INGROUND POOL","Issued",,
"01/24/2020","BB-202000494","Residential Pool","774 SPRINGDALE RD NE, ATLANTA GA 30306","CA3 19 607 CONCRETE IN GROUND SWIMMING POOL. LANDSCAPE RETAINING WALL 24""HT, POOL EQUIPMENT","774 SPRINGDALE RD","Issued",,
"01/23/2020","BB-202000509","Residential Pool","2430 HYDE MANOR DR NW, ATLANTA GA 30327","NEW SWIMMING POOL AND POOL HOUSE AND CARPORT; BRICK COLUMN, NEW ROOF.","SFR - SWIMMING POOL","Routed for Review",,
"01/22/2020","BB-202000430","Residential Pool","657 DARLINGTON CIR NE, ATLANTA GA 30305","POOL, STEPS, WALLS, DRIVEWAY EXTENSION AND TERRACE.  PER ARBORIST - DEMO EXISTING GARAGE/ TERRACE - ADD NEW GARAGE/ POOL HOUSE - Henry S.","BLANCO POOL","Issued",,
"01/21/2020","BB-202000420","Residential Pool","18 WEST ANDREWS DR NW, ATLANTA GA 30305","CONSTRUCTION OF A NEW PARTIAL IN-GROUND POOL AND PATIO HARDSCAPE AND DECK","SFR - CRUZ IN GROUND POOL","Issued",,
"01/21/2020","BB-202000410","Residential Pool","4670 TALL PINES DR NW, ATLANTA GA 30327","CONSTRUCT  SWIMMING POOL IN REAR YARD AND MISC SITE WORK","NEW SWIMMING POOL (SFR)","Issued",,
"01/15/2020","BB-202000310","Residential Pool","3320 RILMAN RD NW, ATLANTA GA 30327","CONSTRUCT NEW POOL","SFR - POOL LOT 3","Issued",,
"01/15/2020","BB-202000288","Residential Pool","901 OAKDALE RD NE, ATLANTA GA 30307","CONCRETE SWIMMING POOL AND CABANA","BROWN POOL","Complete",,
"01/13/2020","BB-202000229","Residential Pool","3312 RILMAN RD NW, ATLANTA GA 30327","CONSTRUCT NEW POOL","SFR - POOL LOT 2","Issued",,
"01/10/2020","BB-202000198","Residential Pool","2495 RIVERS RD NW, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL,  POOL DECK, RETAINING WALL AND MISC SITE WORK.","D'AMARO POOL","Complete",,
"01/09/2020","BB-202000169","Residential Pool","74 28TH ST NW, ATLANTA GA 30309","GUNITE POOL AND PATIO","SFR - POOL","Issued",,
"01/03/2020","BB-202000030","Residential Pool","91 PARK CIR NE, ATLANTA GA 00000","Installation of swimming pool, removal and replacement of retaining walls, terraces, steps, driveway and misc site work.","Swimming Pool / Site Work","Issued",,
"12/31/2019","BB-201910057","Residential Pool","1916 WELLBOURNE DR NE, ATLANTA GA 30324","10 X 22 CONCRETE PLUNGE POOL; 36 IN THE SHALLOW END AND 5' IN THE DEEP END.","SFR: POOL","Issued",,
"12/20/2019","BB-201909846","Residential Pool","3021 DALE DR NE, ATLANTA GA 30305","INGROUND POOL","VANLANDINGHAM POOL","Issued",,
"12/19/2019","BB-201909823","Residential Pool","227 WILBUR AVE SE, ATLANTA GA 30316","INSTALL SWIMMING POOL, SPA, FENCE (5 FT)","SFR - TONY BROWN POOL","Issued",,
"12/13/2019","BB-201909672","Residential Pool","795 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","CONSTRUCT POOL/ POOL DECKING   (REP-14-092/ SD-15-015)8/3/2020 Revision to replace existing driveway. C.Stinson","SFR - POOL (REP-14-092/ SD-15-015)","Issued",,
"12/13/2019","BB-201909663","Residential Pool","43 LAKE FORREST LN NE, ATLANTA GA 30342","INGROUND POOL AND SPA, 24' BLOCK WALL","Single family residence  - FRANCOIS POOL","Complete",,
"12/12/2019","BB-201909606","Residential Pool","3517 KNOLLWOOD DR NW, ATLANTA GA 30305","BUILD A POOL IN THE REAR OF THE PROPERTY.","SFR - POOL","Issued",,
"12/11/2019","BB-201909576","Residential Pool","1619 LADY MARIAN LN NE, ATLANTA GA 30309","REMOVE EXISTING PATIO, WALKWAY, SITE WALL.  NEW CONSTRUCTION INCLUDES SWIMMING POOL, POOL DECK, SELF-LOCKING GATE, AND BACK PORCH.","SFR - ANDERSON POOL/ MISC SITE","Issued",,
"12/06/2019","BB-201909490","Residential Pool","797 WILSON RD NW, ATLANTA GA 30318","INGROUND POOL, SPA AND MOD BLOCK WAY","CASE POOL","Issued",,
"12/05/2019","BB-201909476","Residential Pool","2586 HABERSHAM RD NW, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL AND SPA; MISC SITE WORK","SFR - POOL","Issued",,
"12/03/2019","BB-201909380","Residential Pool","4225 WIEUCA RD NE, ATLANTA GA 30342","ERECT SWIMMING POOL,SPA,POOL PATIO","SFR - SEGER POOL","Issued",,
"11/21/2019","BB-201909192","Residential Pool","1016 SANDERS AVE SE, ATLANTA GA 30316","POOL","SFR - POOL","Issued",,
"11/21/2019","BB-201909187","Residential Pool","1749 FRIAR TUCK RD NE, ATLANTA GA 30309","INGROUND POOL & SPA","SFR - BULGER POOL","Issued",,
"11/21/2019","BB-201909185","Residential Pool","3190 MARNE DR NW, ATLANTA GA 30305","INGROUND POOL 28 X 14","SFR - WAMSER POOL","Issued",,
"11/21/2019","BB-201909184","Residential Pool","89 LAKE FORREST LN NE, ATLANTA GA 30342","POOL","SFR - HERSCH POOL","Issued",,
"11/20/2019","BB-201909129","Residential Pool","203 PETERS ST SW, ATLANTA GA 30313","POOL","SFR - HILL POOL (CA3-19-513)","Issued",,
"11/13/2019","BB-201908896","Residential Pool","163 BLACKLAND DR NW, ATLANTA GA 30342","ERECT A SWIMMING POOL","NEW SINGLE FAMILY SWIMMING POOL","Complete",,
"11/13/2019","BB-201908895","Residential Pool","525 PARK DR NE, ATLANTA GA 30306","INGROUND POOL & SPA ONLY","SFR - POOL","Issued",,
"11/12/2019","BB-201908862","Residential Pool","401 SINCLAIR AVE NE, ATLANTA GA 30307","Inground swimming pool- will be a type II staff Review as per Doug Young","401 Sinclair Swimming Pool","Issued",,
"11/12/2019","BB-201908855","Residential Pool","650 HILLPINE DR NE, ATLANTA GA 30306","Installation of a concrete pool; bocceball court; stone walls and exposed pool wall","Pool / Court / Walls","Issued",,
"10/29/2019","BB-201908539","Residential Pool","151 THE PRADO NE, ATLANTA GA 0","CONSTRUCTION OF NEW CONCRETE SHELL POOL WITH PAVER DECK.","SINGLE FAMILY RESIDENCE  - BELLMAN POOL","Complete",,
"10/29/2019","BB-201908516","Residential Pool","353 BROADLAND RD NW, ATLANTA GA 30342","POOL & SPA, STONE PATIO","SINGLE FAMILY RESIDENCE_POOL","Issued",,
"10/25/2019","BB-201908454","Residential Pool","1168 MCLYNN AVE NE, ATLANTA GA 30306","DEMO EXISTING DECKING AND PLANTERS. CONSTRUCTION OF NEW IN-GROUND POOL AND PATIO.","SFR - POOL & PATIO","Issued",,
"10/23/2019","BB-201908385","Residential Pool","55 WEST WIEUCA RD NE, ATLANTA GA 30342","Installation of pool, spa, pavers, pool decking, wood fence and garden/retaining wall.","Pool","Complete",,
"10/23/2019","BB-201908384","Residential Pool","3058 GREENDALE DR NW, ATLANTA GA 30327","Installation of swimming pool and spa","Pool","Issued",,
"10/23/2019","BB-201908369","Residential Pool","82 PARK CIR NE, ATLANTA GA 00000","POOL, PATIOS, FIREPIT, FENCE 6'","SFR - MEIER POOL/ LANESCAPE","Issued",,
"10/22/2019","BB-201908333","Residential Pool","676 DELMAR AVE SE, ATLANTA GA 30312","Installation of new Pool and spa","Pool","Issued",,
"10/21/2019","BB-201908942","Residential Pool","66 WALTHALL ST SE, ATLANTA GA 30316","Installation of new in-ground swimming pool 150 SF","IN -GROUND Pool","Complete",,
"10/21/2019","BB-201908278","Residential Pool","1357 GRANT ST SE, ATLANTA GA 30315","IN GROUND POOL W/ SPA","SFR - IN-GROUND POOL","Issued",,
"10/16/2019","BB-201908126","Residential Pool","1831 WALTHALL DR NW, ATLANTA GA 30318","CONCRETE IN-GROUND SWIMMING POOL AND SPA, 24' HT RETAINING WALL AND STEPS, STONE PATIO, EQUIPMENT.","SFR - POOL","Issued",,
"10/14/2019","BB-201908059","Residential Pool","1670 NOTTINGHAM WAY NE, ATLANTA GA 30309","POOL AND POOL PORCH","SFR - POOL & POOL PORCH","Complete",,
"10/09/2019","BB-201907924","Residential Pool","798 DREWRY ST NE, ATLANTA GA 30306","INSTALL AN IN-GROUND CUSTOM POOL AND SPA IN EXISTING BACKYARD PATIO. MINIMAL DEMOLITION IS REQUIRED - REMOVAL OF EXISTING PAVERS FOR POOL/ SPA INSTALLATION AND EXISTING WOOD PICKET FENCE REMOVED AND REPLACED WITH METAL FENCE.","SFR - DAVIS RESIDENCE PATIO POOL AND SPA","Complete",,
"10/08/2019","BB-201907879","Residential Pool","4455 LAKE FORREST DR NE, ATLANTA GA 30342","Installation of swimming pool with patio and 30in wall; REF: V-19-146","Swimming Pool","Issued",,
"10/07/2019","BB-202000781","Residential Pool","98 HUNTINGTON RD NE, ATLANTA GA 30309","Installation of swimming pool","Pool","Issued",,
"10/03/2019","BB-201907768","Residential Pool","114 INTERLOCHEN DR NE, ATLANTA GA 30342","POOL/ SPA/ CABANA/ GOLFCART GARAGE","SFR - JOHNSON POOL/ SPA/ CABANA/ GOLFCART GARAGE","Issued",,
"10/02/2019","BB-201907722","Residential Pool","1055 ANGELO CT NE, ATLANTA GA 30319","IN-GROUND SWIMMING POOL ONLY","FEIBER POOL","Complete",,
"10/01/2019","BB-201907707","Residential Pool","3860 PEACHTREE DUNWOODY RD NE, ATLANTA GA 30342","CONSTRUCTION OF NEW DRIVEWAY, NEW WATER FEATURE, NEW WALKWAY, NEW RETAINING WALL, NEW POOL & POOL DECK,","SFR - DRIVEWAY, RETAIN WALL, POOL","Issued",,
"09/30/2019","BB-201907642","Residential Pool","976 SWATHMORE DR NW, ATLANTA GA 30327","Demo existing pool and pool patio; install inground pool, spa and pool patio","Pool","Complete",,
"09/27/2019","BB-201907594","Residential Pool","1733 NOBLE DR NE, ATLANTA GA 30306","Installation of swimming pool; demolition of existing concrete and stone retaining wall","SINGLE FAMILY RESIDENCE","Issued",,
"09/26/2019","BB-201907526","Residential Pool","2532 HABERSHAM RD NW, ATLANTA GA 30305","POOL, 18"" WALL, FENCE","SINGLE FAMILY RESIDENCE - SPAGENBERG POOL","Issued",,
"09/26/2019","BB-201907523","Residential Pool","4099 RANDALL MILL RD NW, ATLANTA GA 30327","SWIMMING POOL, SPA, POOL DECK, POOL EQUIPMENT & FENCE (PATIO)","SFR - SWIMMING POOL","Complete",,
"09/20/2019","BB-201907376","Residential Pool","536 COBBLESTONE DR NE, ATLANTA GA 30342","Installation of pool and spa with patio","Pool/Spa","Issued",,
"09/19/2019","BB-201907303","Residential Pool","2425 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317","IN GROUND SWIMMING POOL, GRILL STATION, FIREPLACE, PERGOLA","SFR - PHILLIBER SWIMMING POOL","Issued",,
"09/17/2019","BB-201907270","Residential Pool","2605 WOODWARD WAY NW, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL V - 19 - 23","2506 WOODWARD WAY","Issued",,
"09/16/2019","BB-201907224","Residential Pool","627 HILLPINE DR NE, ATLANTA GA 30306","INSTALLATION OF BUILD 20 FT CIRCULAR GUNITE POOL 360SQFT","SFR - POOL","Issued",,
"09/16/2019","BB-201907213","Residential Pool","47 MUSCOGEE AVE NW, ATLANTA GA 30305","CONSTRUCT SWIMMING POOL, POOL DECK, RETAINING WALLS AND MISC SITE WORK INCLUDING POOL FENCE.","SFR - SWIMMING POOL","Issued",,
"09/16/2019","BB-201907205","Residential Pool","3311 MATHIESON DR NE, ATLANTA GA 30305","POOL, SPA, STONE PATIO AREA AROUND POOL","SINGLE FAMILY RESIDENCE  : POOL","Complete",,
"09/12/2019","BB-201907166","Residential Pool","1361 GREENLAND DR NE, ATLANTA GA 30306","POOL PERMIT","SFR - POOL","Issued",,
"09/11/2019","BB-201907110","Residential Pool","1475 WEST PACES FERRY RD NW, ATLANTA GA 30327","INSTALL A 18 X 36 INGROUND POOL","SFR - INGROUND POOL","Issued",,
"08/28/2019","BB-201906734","Residential Pool","494 MT PARAN RD NW, ATLANTA GA 30327","Construction of new swimming pool, spa and surrounding decking.","Pool-CO","Issued",,
"08/28/2019","BB-201906711","Residential Pool","500 COBBLESTONE DR NE, ATLANTA GA 30342","INSTALL SWIMMING POOL 17 X 36","SFR - POOL (v-19-118)","Routed for Review",,
"08/27/2019","BB-201906700","Residential Pool","4336 TOWN COMMONS CIR NE, ATLANTA GA 30319","DEMO OF EXISTING POOL, NEW POOL, POOL DECK, RETAINING WALLS AND FENCES; MISC SITE WORK AND TERRACE","SFR - PARKER POOL","Issued",,
"08/27/2019","BB-201906689","Residential Pool","4715 MILLBROOK DR NW, ATLANTA GA 30327","ERECT NEW SWIMMING POOL","POOL","Issued",,
"08/22/2019","BB-201906572","Residential Pool","542 HILLSIDE DR NW, ATLANTA GA 30342","Installation of pool and spa","Pool / Spa","Complete",,
